Year,Europe
1990,20654.88
1991,20631.620000000003
1992,20189.68
1993,20189.68
1994,20085.010000000002
1995,20713.030000000002
1996,21445.72
1997,21341.050000000003
1998,21503.870000000003
1999,21306.16
2000,21538.760000000002
2001,21934.18
2002,21969.07
2003,22515.68
2004,22748.280000000002
2005,22864.58
2006,23108.81
2007,22829.690000000002
2008,22829.690000000002
2009,21608.54
2010,22469.16
2011,21794.620000000003
2012,21689.95
2013,21480.61
2014,20689.77
2015,21038.670000000002
2016,21224.75
2017,21620.170000000002
2018,21399.2
2019,21061.93
2020,19643.07
