Year,World
1990,101855.54000000001
1991,102483.56000000001
1992,102588.23000000001
1993,103646.56000000001
1994,104449.03000000001
1995,107112.3
1996,109763.94
1997,110903.68000000001
1998,111450.29000000001
1999,113974.0
2000,116590.75
2001,117521.15000000001
2002,120207.68000000001
2003,124464.26000000001
2004,129953.62000000001
2005,133582.18000000002
2006,137396.82
2007,141211.46000000002
2008,142874.55000000002
2009,141490.58000000002
2010,149294.31
2011,151783.13
2012,153748.6
2013,155958.30000000002
2014,157667.91
2015,158086.59
2016,159377.52000000002
2017,162459.47
2018,166297.37000000002
2019,167553.41
2020,160819.64
